flightNumber,planeRows,planeColumns,totalPassengers,luggagePercentage,doubleExit,passengerID,seatLocation,speedQueue,speedExiting,hasLuggage,luggageLocation,luggagePickupTime
F105F88CB,20,4,80,0,false,e31981ad-cfa6-4e07-b193-a35181e8b7a8,1_1,1,2,false,,
F105F88CB,20,4,80,0,false,5184b30d-d057-4518-8b9a-a2c2c6efb867,1_2,3,2,false,,
F105F88CB,20,4,80,0,false,56e26744-09ae-4c60-a546-930d74aaaa03,1_3,4,2,false,,
F105F88CB,20,4,80,0,false,50b137ef-d192-4a77-ad4c-434fd35611e8,1_4,1,3,false,,
F105F88CB,20,4,80,0,false,3c967e96-3cda-4e1b-b265-d7377d01470b,2_1,3,3,false,,
F105F88CB,20,4,80,0,false,5d44b387-dee7-4b85-98b0-25abcc30e880,2_2,4,4,false,,
F105F88CB,20,4,80,0,false,d73703c9-a928-4478-b933-e581fdeebb85,2_3,2,4,false,,
F105F88CB,20,4,80,0,false,e55aa7c8-a06d-4d64-a1b3-4f4886451a53,2_4,2,2,false,,
F105F88CB,20,4,80,0,false,33a967fe-7a5c-4213-9b4a-eb23dc812289,3_1,1,4,false,,
F105F88CB,20,4,80,0,false,284fb420-fdbb-4515-8a6d-644ae3989157,3_2,2,3,false,,
F105F88CB,20,4,80,0,false,0e9dbaaf-d6ea-422f-9f70-febaf04b2866,3_3,2,2,false,,
F105F88CB,20,4,80,0,false,a6e8bd90-431b-4398-b19c-86a70663c9cb,3_4,3,2,false,,
F105F88CB,20,4,80,0,false,4a57f987-5541-4cae-8cb4-c19d694cbc8c,4_1,2,2,false,,
F105F88CB,20,4,80,0,false,817613b1-6bd5-431b-a224-ffd4739a2722,4_2,3,3,false,,
F105F88CB,20,4,80,0,false,57d039ef-6c37-4696-836e-67c0e22b71fe,4_3,4,4,false,,
F105F88CB,20,4,80,0,false,6212319e-3963-4eba-927c-49da07531bdd,4_4,3,3,false,,
F105F88CB,20,4,80,0,false,cde79656-cecd-43c8-8b6a-7fc3338d5e9a,5_1,2,2,false,,
F105F88CB,20,4,80,0,false,42a9a14d-c322-4847-8e83-0ce98ccae733,5_2,4,3,false,,
F105F88CB,20,4,80,0,false,8ba87f80-385b-4009-9989-77ea15af3af6,5_3,3,4,false,,
